service_id,date,exception_type
2903,20250216,1
2904,20250217,1
4,20250217,1
1,20250217,2
401,20250218,1
501,20250218,1
4501,20250218,1
401,20250219,1
501,20250219,1
4401,20250219,1
401,20250220,1
501,20250220,1
4401,20250220,1
401,20250221,1
501,20250221,1
4501,20250221,1
2902,20250222,1
2903,20250223,1
401,20250224,1
501,20250224,1
4401,20250224,1
401,20250225,1
501,20250225,1
4501,20250225,1
401,20250226,1
501,20250226,1
4401,20250226,1
401,20250227,1
501,20250227,1
4401,20250227,1
401,20250228,1
501,20250228,1
4501,20250228,1
2902,20250301,1
2903,20250302,1
401,20250303,1
501,20250303,1
4401,20250303,1
401,20250304,1
501,20250304,1
4501,20250304,1
401,20250305,1
501,20250305,1
4401,20250305,1
401,20250306,1
501,20250306,1
4401,20250306,1
401,20250307,1
501,20250307,1
4501,20250307,1
2902,20250308,1
2903,20250309,1
401,20250310,1
501,20250310,1
4401,20250310,1
401,20250311,1
501,20250311,1
4501,20250311,1
401,20250312,1
501,20250312,1
4401,20250312,1
401,20250313,1
501,20250313,1
4401,20250313,1
401,20250314,1
501,20250314,1
4501,20250314,1
2902,20250315,1
2903,20250316,1
401,20250317,1
501,20250317,1
4401,20250317,1
401,20250318,1
501,20250318,1
4501,20250318,1
401,20250319,1
501,20250319,1
4401,20250319,1
401,20250320,1
501,20250320,1
4401,20250320,1
401,20250321,1
501,20250321,1
4501,20250321,1
2902,20250322,1
2903,20250323,1
401,20250324,1
501,20250324,1
4401,20250324,1
401,20250325,1
501,20250325,1
4501,20250325,1
401,20250326,1
501,20250326,1
4401,20250326,1
401,20250327,1
501,20250327,1
4401,20250327,1
401,20250328,1
501,20250328,1
4501,20250328,1
2902,20250329,1
