_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle
1,2025-01-01,504,02:10,Wednesday,KING AND PARLIAMENT,Cleaning - Unsanitary,10,20,W,4569
2,2025-01-01,506,02:50,Wednesday,COLLEGE AND HURON,General Delay,34,49,E,4480
3,2025-01-01,504,03:11,Wednesday,KING AND QUEEN EAST,Operations,15,30,E,4629
4,2025-01-01,501,05:14,Wednesday,QUEEN AND DUFFERIN,General Delay,36,55,E,4455
5,2025-01-01,504,06:14,Wednesday,LESLIE CARHOUSE,Mechanical,10,20,E,4483
6,2025-01-01,504,09:02,Wednesday,KING AND JAMESON,Emergency Services,10,20,W,4606
7,2025-01-01,510,11:51,Wednesday,SPADINA AND BLOOR,Operations,7,15,E,3356
8,2025-01-01,512,12:06,Wednesday,ST. CLAIR AND VAUGHAN,Operations,8,16,E,4403
9,2025-01-01,505,13:39,Wednesday,DUNDAS AND DENISON,Mechanical,8,16,W,4584
10,2025-01-01,511,15:03,Wednesday,BATHURST AND DUNDAS,General Delay,47,57,S,4410
11,2025-01-01,504,15:04,Wednesday,RONCESVALLES AND HOWAR,Cleaning - Unsanitary,10,20,N,4556
12,2025-01-01,501,16:19,Wednesday,NEVILLE PARK AND QUEEN,Emergency Services,10,20,E,4453
13,2025-01-01,506,18:35,Wednesday,GERRARD AND JONES,Emergency Services,10,20,W,4504
14,2025-01-01,505,19:06,Wednesday,BROADVIEW AND DUNDAS,Operations,19,20,E,4473
15,2025-01-01,501,19:19,Wednesday,HUMBER LOOP,Cleaning - Unsanitary,10,20,S,4480
16,2025-01-01,511,20:40,Wednesday,BATHURST AND WELLINGTO,General Delay,9,18,S,4496
17,2025-01-01,512,21:27,Wednesday,ST CLAIR AND LANSDOWNE,Cleaning - Unsanitary,9,18,E,4618
18,2025-01-01,511,22:10,Wednesday,BATHURST AND NIAGARA,Cleaning - Unsanitary,9,18,S,4422
19,2025-01-01,504,22:46,Wednesday,SPRINGHURST LOOP,Security,10,20,W,4611
20,2025-01-01,506,00:18,Wednesday,RONCESVALLES AND THE Q,Emergency Services,None,None,S,4574
21,2025-01-01,511,01:23,Wednesday,BATHURST STATION,Emergency Services,16,25,S,4416
22,2025-01-02,504,03:27,Thursday,SUNNYSIDE LOOP,Emergency Services,None,None,None,4561
23,2025-01-02,305,03:49,Thursday,DUNDAS AND BLOOR,Cleaning - Unsanitary,15,30,W,4499
24,2025-01-02,501,04:53,Thursday,THE QUEENSWAY AND GLEN,Security,19,50,W,4586
25,2025-01-02,504,05:04,Thursday,KINGSTON LOOP,Security,None,None,N,4427
26,2025-01-02,507,05:14,Thursday,THE QUEENWAY AND GLEND,General Delay,None,None,W,4500
27,2025-01-02,511,05:45,Thursday,BATHURST AND HOTSPUR,Mechanical,10,20,S,9006
