Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,_id,Code Description,Display Label
2023-01-01 00:00:00,02:22,Sunday,MUSEUM STATION,MUPAA,3.0,9.0,S,YU,5931.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-01 00:00:00,02:30,Sunday,KIPLING STATION,MUIS,0.0,0.0,E,BD,5341.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-01 00:00:00,02:33,Sunday,WARDEN STATION,SUO,0.0,0.0,W,BD,0.0,,Passenger Other,Passenger Other
2023-01-01 00:00:00,03:17,Sunday,KEELE STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-01 00:00:00,07:16,Sunday,BATHURST STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-01 00:00:00,12:28,Sunday,ISLINGTON STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-01 00:00:00,13:30,Sunday,DUNDAS WEST STATION,MUPAA,0.0,0.0,E,BD,5068.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-01 00:00:00,14:39,Sunday,DAVISVILLE STATION,SUDP,4.0,8.0,N,YU,5546.0,,Disorderly Patron,Disorderly Patron
2023-01-01 00:00:00,16:13,Sunday,SHEPPARD WEST STATION,SUDP,6.0,10.0,S,YU,5451.0,,Disorderly Patron,Disorderly Patron
2023-01-01 00:00:00,16:50,Sunday,SHERBOURNE STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-01 00:00:00,17:27,Sunday,GREENWOOD STATION,SUDP,9.0,13.0,W,BD,5371.0,,Disorderly Patron,Disorderly Patron
2023-01-01 00:00:00,18:59,Sunday,ST GEORGE YUS STATION,MUPAA,5.0,10.0,N,YU,5851.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-01 00:00:00,19:13,Sunday,BAY STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-01 00:00:00,20:37,Sunday,YONGE BD STATION,SUDP,3.0,8.0,E,BD,5056.0,,Disorderly Patron,Disorderly Patron
2023-01-01 00:00:00,22:19,Sunday,UNION STATION,SUDP,14.0,20.0,N,YU,6086.0,,Disorderly Patron,Disorderly Patron
2023-01-01 00:00:00,23:31,Sunday,ST CLAIR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-01 00:00:00,01:54,Sunday,FINCH STATION,MUIRS,0.0,0.0,S,YU,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-01 00:00:00,22:06,Sunday,DON MILLS STATION,MUIS,0.0,0.0,,SHP,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,02:10,Monday,VAUGHAN MC STATION,SUDP,0.0,0.0,S,YU,5801.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,02:25,Monday,VAUGHAN MC STATION,SUDP,0.0,0.0,S,YU,5976.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,02:30,Monday,HIGHWAY 407 STATION,SUDP,12.0,18.0,N,YU,5526.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,03:46,Monday,DUNDAS WEST STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-02 00:00:00,09:26,Monday,ISLINGTON STATION,MUPAA,3.0,7.0,W,BD,5031.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-02 00:00:00,10:18,Monday,EGLINTON STATION,SUDP,3.0,9.0,S,YU,5556.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,11:26,Monday,COLLEGE STATION,SUDP,0.0,0.0,,YU,0.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,12:02,Monday,EGLINTON WEST STATION,SUO,5.0,9.0,N,YU,5456.0,,Passenger Other,Passenger Other
2023-01-02 00:00:00,13:16,Monday,MUSEUM STATION,SUDP,13.0,17.0,S,YU,5816.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,13:40,Monday,BLOOR STATION,MUIS,0.0,0.0,S,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,14:02,Monday,BLOOR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,15:43,Monday,BLOOR STATION,MUPAA,3.0,7.0,S,YU,5556.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-02 00:00:00,17:54,Monday,CHRISTIE STATION,MUIRS,6.0,11.0,E,BD,5135.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-02 00:00:00,18:51,Monday,DUNDAS STATION,MUIRS,0.0,0.0,N,YU,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-02 00:00:00,19:35,Monday,COLLEGE STATION,MUPAA,3.0,9.0,N,YU,5516.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-02 00:00:00,21:26,Monday,SUMMERHILL STATION,SUDP,4.0,10.0,N,YU,6136.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,22:08,Monday,BLOOR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,22:30,Monday,DUFFERIN STATION,SUDP,0.0,0.0,W,BD,5151.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,22:37,Monday,ST CLAIR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,22:58,Monday,BLOOR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,23:01,Monday,WELLESLEY STATION,MUPAA,0.0,0.0,N,YU,5566.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-02 00:00:00,23:56,Monday,YONGE BD STATION,SUDP,0.0,0.0,E,BD,5313.0,,Disorderly Patron,Disorderly Patron
2023-01-02 00:00:00,01:32,Monday,BROADVIEW STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-02 00:00:00,22:22,Monday,DON MILLS STATION,MUIS,0.0,0.0,,SHP,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-03 00:00:00,02:09,Tuesday,KENNEDY BD STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-03 00:00:00,09:27,Tuesday,SPADINA BD STATION,SUDP,0.0,0.0,,BD,0.0,,Disorderly Patron,Disorderly Patron
2023-01-03 00:00:00,10:30,Tuesday,BLOOR STATION,MUIS,0.0,0.0,S,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-03 00:00:00,12:05,Tuesday,VICTORIA PARK STATION,MUIS,0.0,0.0,W,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-03 00:00:00,12:16,Tuesday,FINCH WEST STATION,MUIRS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-03 00:00:00,12:43,Tuesday,EGLINTON STATION,SUDP,5.0,8.0,S,YU,5786.0,,Disorderly Patron,Disorderly Patron
2023-01-03 00:00:00,14:30,Tuesday,KEELE STATION,SUO,0.0,0.0,E,BD,5128.0,,Passenger Other,Passenger Other
2023-01-03 00:00:00,17:22,Tuesday,SPADINA BD STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-03 00:00:00,18:02,Tuesday,YONGE BD STATION,SUDP,0.0,0.0,E,BD,0.0,,Disorderly Patron,Disorderly Patron
2023-01-03 00:00:00,18:03,Tuesday,BLOOR STATION,SUO,0.0,0.0,S,YU,6016.0,,Passenger Other,Passenger Other
2023-01-03 00:00:00,18:10,Tuesday,CASTLE FRANK STATION,SUDP,3.0,6.0,W,BD,5158.0,,Disorderly Patron,Disorderly Patron
2023-01-03 00:00:00,19:39,Tuesday,BAY STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-03 00:00:00,20:06,Tuesday,KENNEDY BD STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-03 00:00:00,20:21,Tuesday,BLOOR STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-03 00:00:00,22:09,Tuesday,EGLINTON WEST STATION,SUDP,0.0,0.0,N,YU,5446.0,,Disorderly Patron,Disorderly Patron
2023-01-03 00:00:00,00:30,Tuesday,QUEEN'S PARK STATION,MUIRS,0.0,0.0,S,YU,5761.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-04 00:00:00,02:22,Wednesday,FINCH STATION,MUIS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-04 00:00:00,04:03,Wednesday,DUNDAS STATION,SUO,0.0,0.0,,YU,0.0,,Passenger Other,Passenger Other
2023-01-04 00:00:00,06:52,Wednesday,BAY STATION,SUO,0.0,0.0,W,BD,5106.0,,Passenger Other,Passenger Other
2023-01-04 00:00:00,07:19,Wednesday,COXWELL STATION,MUIRS,0.0,0.0,W,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-04 00:00:00,07:32,Wednesday,DUFFERIN STATION,SUDP,3.0,6.0,E,BD,5286.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,08:21,Wednesday,KIPLING STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-04 00:00:00,09:06,Wednesday,SHEPPARD WEST STATION,MUIRS,0.0,0.0,,YU,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-04 00:00:00,09:12,Wednesday,PAPE STATION,MUPAA,0.0,0.0,E,BD,5105.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-04 00:00:00,09:54,Wednesday,KIPLING STATION,MUIS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-04 00:00:00,10:29,Wednesday,OSGOODE STATION,SUDP,4.0,7.0,S,YU,6086.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,11:54,Wednesday,NORTH YORK CTR STATION,MUIS,0.0,0.0,S,YU,0.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-04 00:00:00,13:26,Wednesday,SHEPPARD STATION,SUDP,4.0,7.0,N,YU,5861.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,13:31,Wednesday,PAPE STATION,SUDP,14.0,17.0,E,BD,5161.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,13:35,Wednesday,KIPLING STATION,MUIRS,0.0,0.0,,BD,0.0,,Injured or ill Customer (In Station) - Medical Aid Refused,Injured or ill Customer (In Station) - Medical Aid Refused
2023-01-04 00:00:00,13:38,Wednesday,YORK MILLS STATION,SUDP,18.0,21.0,S,YU,5556.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,13:46,Wednesday,DAVISVILLE STATION,SUO,0.0,0.0,N,YU,5466.0,,Passenger Other,Passenger Other
2023-01-04 00:00:00,14:37,Wednesday,WARDEN STATION,MUIS,0.0,0.0,W,BD,5155.0,,Injured or ill Customer (In Station) - Transported,Injured or ill Customer (In Station) - Transported
2023-01-04 00:00:00,15:04,Wednesday,COLLEGE STATION,MUPAA,3.0,6.0,N,YU,5776.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-04 00:00:00,15:35,Wednesday,CHRISTIE STATION,SUDP,5.0,8.0,E,BD,5066.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,16:31,Wednesday,DAVISVILLE STATION,MUPAA,0.0,0.0,N,YU,6076.0,,Passenger Assistance Alarm Activated - No Trouble Found,Passenger Assistance Alarm Activated - No Trouble Found
2023-01-04 00:00:00,16:53,Wednesday,BLOOR STATION,SUO,0.0,0.0,N,YU,5566.0,,Passenger Other,Passenger Other
2023-01-04 00:00:00,16:55,Wednesday,YONGE BD STATION,SUDP,0.0,0.0,W,BD,5068.0,,Disorderly Patron,Disorderly Patron
2023-01-04 00:00:00,17:45,Wednesday,SPADINA BD STATION,SUDP,5.0,8.0,W,BD,5360.0,,Disorderly Patron,Disorderly Patron
